diff flag,cas,nata.name,epa_list_name,trv_chem,epa-ure_ug-1m3,epa_inv_ure,trv_can1_ugm.3,epa_rfc_mg.3,epa_rfc_ug.m3,trv_noncan1_ugm.3,monitored by lab?
hi_diff,100-41-4,ETHYLBENZENE,Ethyl benzene,Ethyl benzene,0.0000025,0.4,0.4,1,1000,260,Yes
,100-42-5,STYRENE,Styrene,Styrene, ,, ,1,1000,1000,Yes
hi_diff,100-44-7,BENZYL CHLORIDE,Benzyl chloride,Benzyl chloride,0.000049,0.020408163,0.020408163, ,,1,No
hi_diff,101-68-8,"4,4'-METHYLENEDIPHENYL DIISOCYANATE (MDI)",Methylene diphenyl diisocyanate,Methylene diphenyl diisocyanate (MDI), ,, ,0.0006,0.6,0.08,No
hi_diff,106-46-7,"1,4-DICHLOROBENZENE",p-Dichlorobenzene,"p-Dichlorobenzene (1,4-Dichlorobenzene)",0.000011,0.090909091,0.090909091,0.8,800,60,Yes
,106-88-7,"1,2-EPOXYBUTANE","1,2-Epoxybutane","1,2-Epoxybutane", ,, ,0.02,20,20,No
both_diff,106-89-8,EPICHLOROHYDRIN,Epichlorohydrin,Epichlorohydrin,0.0000012,0.833333333,0.043478261,0.001,1,3,No
,106-93-4,ETHYLENE DIBROMIDE (DIBROMOETHANE),Ethylene dibromide,"Ethylene dibromide (EDB, 1,2-Dibromoethane)",0.0006,0.001666667,0.001666667,0.009,9,9,Yes
,106-99-0,"1,3-BUTADIENE","1,3-Butadiene","1,3-Butadiene",0.00003,0.033333333,0.0330033,0.002,2,2,Yes
,107-02-8,ACROLEIN,Acrolein,Acrolein, ,, ,0.00035,0.35,0.35,Yes
,107-05-1,ALLYL CHLORIDE,Allyl chloride,Allyl chloride,0.000006,0.166666667,0.166666667,0.001,1,1,No
hi_diff,107-06-2,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",Ethylene dichloride,"Ethylene dichloride (EDC, 1,2-Dichloroethane)",0.000026,0.038461538,0.038461538,2.4,2400,7,Yes
hi_diff,107-13-1,ACRYLONITRILE,Acrylonitrile,Acrylonitrile,0.000068,0.014705882,0.014705882,0.002,2,5,Yes
,107-21-1,ETHYLENE GLYCOL,Ethylene glycol,Ethylene glycol, ,, ,0.4,400,400,No
,108-05-4,VINYL ACETATE,Vinyl acetate,Vinyl acetate, ,, ,0.2,200,200,No
,108-10-1,METHYL ISOBUTYL KETONE (HEXONE),Methyl isobutyl ketone,"Methyl isobutyl ketone (MIBK, Hexone)", ,, ,3,3000,3000,Yes
,108-31-6,MALEIC ANHYDRIDE,Maleic anhydride,Maleic anhydride, ,, ,0.0007,0.7,0.7,No
,108-88-3,TOLUENE,Toluene,Toluene, ,, ,5,5000,5000,Yes
hi_diff,108-90-7,CHLOROBENZENE,Chlorobenzene,Chlorobenzene, ,, ,1,1000,50,Yes
,108-95-2,PHENOL,Phenol,Phenol, ,, ,0.2,200,200,No
,110-54-3,HEXANE,n-Hexane,Hexane, ,, ,0.7,700,700,Yes
hi_diff,111-42-2,DIETHANOLAMINE,Diethanolamine,Diethanolamine, ,, ,0.003,3,0.2,No
hi_diff,117-81-7,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),Bis(2-ethylhexyl)phthalate,Bis(2-ethylhexyl) phthalate (DEHP),0.0000024,0.416666667,0.416666667,0.01,10, ,No
both_diff,118-74-1,HEXACHLOROBENZENE,Hexachlorobenzene,Hexachlorobenzene,0.00046,0.002173913,0.001960784,0.003,3, ,No
hi_diff,120-82-1,"1,2,4-TRICHLOROBENZENE","1,2,4-Trichlorobenzene","1,2,4-Trichlorobenzene", ,, ,0.2,200, ,No
hi_diff,121-14-2,"2,4-DINITROTOLUENE","2,4-Dinitrotoluene","2,4-Dinitrotoluene",0.000089,0.011235955,0.011235955,0.007,7, ,No
hi_diff,121-44-8,TRIETHYLAMINE,Triethylamine,Triethylamine, ,, ,0.007,7,200,No
,123-38-6,PROPIONALDEHYDE,Propionaldehyde,Propionaldehyde, ,, ,0.008,8,8,Yes
,123-91-1,"1,4-DIOXANE","1,4-Dioxane","1,4-Dioxane",0.000005,0.2,0.2,0.03,30,30,Yes
can_diff,126-99-8,CHLOROPRENE,Chloroprene,Chloroprene,0.00048,0.002083333,0.003333333,0.02,20,20,No
,127-18-4,TETRACHLOROETHYLENE,Tetrachloroethene,Tetrachloroethene (Perchloroethylene),0.00000026,3.846153846,3.846153846,0.04,40,41,Yes
,1309-64-4,ANTIMONY COMPOUNDS,Antimony trioxide,Antimony trioxide, ,, ,0.0002,0.2,0.2,No
,1319-77-3,CRESOL_CRESYLIC ACID (MIXED ISOMERS),Cresols (mixed),"Cresols (mixture), including m-cresol, o-cresol, p-cresol", ,, ,0.6,600,600,No
hi_diff,1330-20-7,XYLENES (MIXED ISOMERS),Xylenes (mixed),"Xylene (mixture), including m-xylene, o-xylene, p-xylene", ,, ,0.1,100,220,No
,1336-36-3,POLYCHLORINATED BIPHENYLS (AROCLORS),Polychlorinated biphenyls,Polychlorinated biphenyls (PCBs),0.0001,0.01,0.01, ,,,No
hi_diff,1634-04-4,METHYL TERT-BUTYL ETHER,Methyl tert-butyl ether,Methyl tert-butyl ether,0.00000026,3.846153846,3.846153846,3,3000,8000,Yes
hi_diff,18540-29-9,CHROMIUM VI (HEXAVALENT),Chromium (VI) compounds,"Chromium VI, chromate and dichromate particulate",0.012,8.33E-05,0.0000833,0.0001,0.1,0.2,Yes
hi_diff,26471-62-5,"2,4-TOLUENE DIISOCYANATE","2,4/2,6-Toluene diisocyanate mixture (TDI)","Toluene diisocyanates (2,4- and 2,6-)",0.000011,0.090909091,0.090909091,0.00007,0.07,0.021,No
hi_diff,463-58-1,CARBONYL SULFIDE,,Carbonyl sulfide, ,, ,0.163,163,10,No
both_diff,50-00-0,FORMALDEHYDE,Formaldehyde,Formaldehyde,0.000013,0.076923077,0.166666667,0.0098,9.8,9,Yes
,532-27-4,2-CHLOROACETOPHENONE,2-Chloroacetophenone,2-Chloroacetophenone, ,, ,0.00003,0.03,0.03,No
hi_diff,542-75-6,"1,3-DICHLOROPROPENE","1,3-Dichloropropene","1,3-Dichloropropene",0.000004,0.25,0.25,0.02,20,32,No
,56-23-5,CARBON TETRACHLORIDE,Carbon tetrachloride,Carbon tetrachloride,0.000006,0.166666667,0.166666667,0.1,100,100,Yes
hi_diff,57-12-5,CYANIDE COMPOUNDS,Cyanide compounds,NA, ,, ,0.0008,0.8,,No
,60-35-5,ACETAMIDE,Acetamide,Acetamide,0.00002,0.05,0.05, ,,,No
